ID_Encuesta,ID_Edad,ID_Genero,ID_Departamento,ID_Municipio,ID_Ocupacion,ID_Seleccion,ID_Jugador,ID_Promocion,ID_Frecuencia,ID_LugarCompra,ID_CompaniaPartidos,ID_Snack,ID_Sabor,ID_Presentacion,ID_Tiempo,PrecioAdecuado
20,2,1,1,3.0,2.0,4,18,1,1,4.0,1,20,5.0,1,20,Q16 - Q20
21,4,2,11,14.0,8.0,7,19,7,2,2.0,1,21,8.0,4,21,Q16 - Q20
22,4,2,12,12.0,4.0,11,20,5,4,5.0,3,22,8.0,1,22,Q21 - Q30
23,4,2,1,8.0,2.0,4,21,3,4,5.0,5,12,2.0,1,8,Q16 - Q20
24,2,1,1,3.0,7.0,7,22,1,4,6.0,1,23,5.0,1,19,Q21 - Q30
25,6,1,1,1.0,2.0,1,6,3,3,5.0,2,24,4.0,1,22,Q16 - Q20
26,2,1,13,15.0,4.0,2,23,4,2,2.0,3,16,3.0,2,23,Q21 - Q30
27,4,1,5,16.0,1.0,7,5,3,4,2.0,3,7,7.0,1,24,Q21 - Q30
28,4,1,5,7.0,7.0,9,24,2,2,1.0,1,25,9.0,3,25,Q10 - Q15
29,4,2,1,3.0,3.0,2,25,2,3,5.0,1,11,8.0,1,26,Q16 - Q20
30,4,2,1,3.0,2.0,7,26,3,4,4.0,1,24,1.0,1,27,Q16 - Q20
31,4,1,4,5.0,6.0,12,27,2,4,5.0,1,4,3.0,4,21,Q16 - Q20
32,2,2,14,17.0,3.0,13,28,4,2,5.0,3,26,4.0,2,28,Q21 - Q30
33,2,1,14,18.0,6.0,14,29,4,4,6.0,1,27,6.0,2,29,Q16 - Q20
34,4,1,5,16.0,2.0,15,6,2,1,2.0,3,6,8.0,1,30,Q16 - Q20
35,5,2,1,8.0,4.0,7,30,1,4,2.0,3,28,3.0,1,31,Q16 - Q20
36,4,2,15,19.0,4.0,8,31,7,4,5.0,3,29,6.0,2,32,Q10 - Q15
37,2,1,8,12.0,6.0,1,32,1,3,2.0,2,30,,1,33,Q21 - Q30
38,4,1,1,3.0,6.0,2,33,3,5,1.0,5,31,6.0,1,34,Q16 - Q20
39,5,2,7,19.0,3.0,8,25,7,4,4.0,4,32,4.0,3,35,Q10 - Q15
40,6,1,8,19.0,2.0,8,18,4,3,,3,33,4.0,3,12,Más de Q30
41,2,1,3,4.0,,5,34,3,3,2.0,5,34,4.0,2,36,Q10 - Q15
42,2,1,14,17.0,9.0,8,35,5,2,1.0,1,35,5.0,1,37,Q21 - Q30
43,2,1,1,6.0,9.0,4,23,3,4,5.0,1,25,9.0,3,25,Más de Q30
44,6,2,1,6.0,9.0,5,36,4,2,2.0,1,25,2.0,1,38,Q16 - Q20
45,4,1,1,20.0,3.0,7,4,5,1,2.0,3,36,5.0,1,23,Q10 - Q15
46,6,2,3,4.0,3.0,1,37,7,3,5.0,2,37,3.0,2,28,Más de Q30
47,3,2,1,8.0,5.0,8,38,4,2,5.0,4,38,4.0,3,39,Q10 - Q15
48,3,2,5,7.0,3.0,16,6,3,4,4.0,1,6,5.0,3,40,Más de Q30
49,6,1,16,21.0,4.0,8,39,1,4,5.0,3,6,5.0,1,41,Más de Q30
50,5,3,14,18.0,4.0,5,11,3,4,4.0,1,39,1.0,1,28,Q10 - Q15
51,2,1,5,7.0,2.0,4,40,4,2,1.0,5,40,3.0,2,36,Q16 - Q20
52,3,2,17,12.0,4.0,1,41,3,5,6.0,3,12,9.0,4,42,Q21 - Q30
53,4,2,17,12.0,4.0,8,42,5,1,4.0,1,41,5.0,4,43,Menos de Q10
54,2,1,1,1.0,6.0,5,5,6,2,5.0,3,42,5.0,3,44,Q16 - Q20
55,4,1,3,,5.0,9,43,3,5,4.0,4,14,5.0,1,45,Q21 - Q30
56,2,2,14,18.0,3.0,7,44,3,3,5.0,3,34,2.0,1,46,Q10 - Q15
57,1,1,1,20.0,5.0,4,45,5,1,4.0,3,43,5.0,2,20,Q10 - Q15
58,4,2,3,22.0,2.0,17,46,2,1,2.0,3,44,3.0,2,8,Q16 - Q20
59,2,1,1,1.0,2.0,3,47,3,2,5.0,3,45,6.0,1,47,Menos de Q10
60,6,2,1,1.0,4.0,8,32,3,2,6.0,1,6,3.0,1,48,Q16 - Q20
61,1,1,1,20.0,3.0,7,48,4,3,6.0,3,6,3.0,2,24,Q16 - Q20
62,1,2,14,23.0,3.0,3,49,7,3,5.0,1,45,8.0,3,1,Q21 - Q30
63,2,1,10,12.0,6.0,7,50,6,4,5.0,3,46,3.0,2,22,Q16 - Q20
64,4,2,18,12.0,6.0,18,51,7,3,,4,47,8.0,3,49,Menos de Q10
65,5,1,15,24.0,1.0,8,39,7,1,4.0,4,23,9.0,4,50,Q10 - Q15
66,4,1,1,1.0,3.0,4,50,4,2,2.0,4,11,4.0,3,10,Q16 - Q20
67,4,1,1,3.0,4.0,19,52,4,3,3.0,3,48,9.0,1,11,Q16 - Q20
68,5,1,14,18.0,9.0,9,53,7,1,5.0,2,49,2.0,1,51,Q16 - Q20
69,2,2,1,20.0,2.0,2,54,1,2,3.0,5,12,4.0,4,52,Q10 - Q15
70,6,2,1,6.0,3.0,20,55,2,3,2.0,1,50,6.0,1,53,Q16 - Q20
71,6,1,14,18.0,6.0,8,56,4,2,4.0,1,12,4.0,1,43,Q10 - Q15
72,6,1,1,20.0,,3,57,3,3,2.0,3,51,7.0,1,26,Q10 - Q15
73,2,1,1,6.0,3.0,7,58,5,2,2.0,1,52,4.0,2,54,Menos de Q10
74,2,1,1,8.0,8.0,15,4,1,3,5.0,3,28,9.0,4,22,Q10 - Q15
75,4,2,3,4.0,6.0,21,59,5,4,5.0,1,53,2.0,3,45,Q16 - Q20
76,4,1,1,3.0,4.0,22,60,4,3,5.0,1,6,7.0,3,55,Menos de Q10
77,4,2,9,12.0,4.0,4,12,3,1,5.0,1,54,2.0,3,13,Q21 - Q30
78,6,1,1,1.0,1.0,23,61,5,2,2.0,1,55,3.0,3,1,Q16 - Q20
79,4,1,1,20.0,9.0,7,62,1,3,2.0,3,9,3.0,3,9,
80,4,2,1,8.0,4.0,3,55,1,2,5.0,5,56,9.0,2,32,Q16 - Q20
81,4,2,9,12.0,1.0,22,63,5,2,2.0,3,50,2.0,3,27,Q16 - Q20
82,6,2,1,6.0,4.0,2,39,7,2,2.0,1,57,6.0,2,56,Q16 - Q20
83,4,1,3,22.0,3.0,9,64,1,1,3.0,3,58,4.0,4,57,Q10 - Q15
84,4,1,1,3.0,9.0,9,54,4,5,4.0,3,59,8.0,1,13,Q21 - Q30
85,4,1,1,3.0,4.0,23,6,5,3,2.0,1,60,3.0,4,58,Q21 - Q30
86,5,1,3,4.0,3.0,7,65,4,1,2.0,4,61,3.0,4,51,Q10 - Q15
87,1,1,5,16.0,5.0,7,39,7,2,5.0,5,62,5.0,1,32,Más de Q30
88,3,2,3,22.0,3.0,1,66,6,2,1.0,1,63,6.0,4,59,Q10 - Q15
89,5,1,1,8.0,2.0,22,51,3,3,2.0,3,63,4.0,4,18,Más de Q30
90,1,1,1,,9.0,23,11,6,4,1.0,3,64,5.0,1,60,Q10 - Q15
91,2,1,13,25.0,5.0,1,6,2,3,2.0,3,65,4.0,4,38,Q16 - Q20
92,2,1,1,8.0,3.0,7,67,3,3,6.0,3,6,5.0,4,61,Q21 - Q30
93,6,2,1,8.0,5.0,24,68,3,3,2.0,3,66,6.0,1,23,Q16 - Q20
94,3,1,1,3.0,4.0,8,69,6,4,4.0,4,28,7.0,3,62,Q21 - Q30
95,4,2,1,8.0,9.0,2,70,1,1,6.0,3,4,4.0,3,29,Menos de Q10
96,6,2,2,19.0,8.0,2,71,4,1,3.0,3,25,6.0,2,56,Menos de Q10
97,4,2,15,24.0,1.0,1,11,5,4,1.0,1,67,3.0,4,63,Q21 - Q30
98,3,1,1,20.0,3.0,9,11,5,2,5.0,1,68,4.0,3,64,Q16 - Q20
99,4,1,16,12.0,4.0,8,6,4,3,5.0,4,12,3.0,4,65,Q16 - Q20
100,1,2,14,17.0,4.0,9,72,5,3,2.0,3,34,8.0,3,66,Q16 - Q20
101,2,2,14,18.0,4.0,23,73,4,1,5.0,1,69,4.0,3,67,Q10 - Q15
102,3,1,14,23.0,4.0,1,18,4,2,5.0,3,50,1.0,3,18,Q21 - Q30
103,1,1,2,12.0,2.0,5,74,5,4,5.0,1,28,,3,8,Q16 - Q20
104,4,2,1,3.0,3.0,25,75,7,3,4.0,3,9,3.0,4,48,Q21 - Q30
105,3,2,1,6.0,9.0,5,76,1,4,2.0,3,70,4.0,1,6,Q10 - Q15
106,3,2,15,12.0,8.0,15,77,1,3,4.0,3,6,8.0,2,40,Q16 - Q20
107,3,1,1,6.0,4.0,4,78,3,4,2.0,1,25,5.0,1,68,Q21 - Q30
108,2,1,4,5.0,4.0,8,79,3,2,4.0,3,11,8.0,3,62,Q10 - Q15
109,2,1,1,6.0,4.0,3,80,2,1,2.0,1,71,5.0,2,51,Q10 - Q15
110,4,1,14,18.0,3.0,8,59,7,4,2.0,3,72,8.0,1,65,Q16 - Q20
111,5,2,14,17.0,6.0,7,81,4,1,3.0,1,73,8.0,4,58,Menos de Q10
112,4,2,2,2.0,3.0,8,82,2,4,3.0,1,28,9.0,4,69,Q16 - Q20
113,6,1,17,19.0,6.0,26,83,3,4,3.0,3,11,5.0,4,70,Q21 - Q30
114,2,2,19,26.0,4.0,2,41,2,3,1.0,3,74,9.0,2,71,Q10 - Q15
115,3,1,1,20.0,4.0,4,31,1,2,5.0,2,75,7.0,4,57,Más de Q30
116,2,1,15,24.0,4.0,3,31,4,1,2.0,2,76,1.0,3,35,Q10 - Q15
117,4,1,20,27.0,8.0,2,14,3,1,5.0,3,77,3.0,3,63,Q21 - Q30
118,5,1,1,1.0,4.0,9,84,4,3,2.0,3,12,8.0,4,72,Q10 - Q15
119,2,1,21,1.0,4.0,9,6,4,4,6.0,3,78,5.0,1,73,Q10 - Q15
120,2,2,1,8.0,4.0,7,85,4,1,4.0,1,79,6.0,3,74,Menos de Q10
121,2,1,7,11.0,3.0,3,25,7,4,3.0,3,6,9.0,4,75,Más de Q30
122,4,2,22,28.0,9.0,2,86,1,4,1.0,3,22,9.0,2,76,Q16 - Q20
123,4,1,5,7.0,3.0,8,87,1,2,1.0,3,80,7.0,3,77,Más de Q30
124,5,3,4,29.0,4.0,9,18,7,1,2.0,4,81,5.0,1,78,Q16 - Q20
125,6,2,1,1.0,3.0,7,18,6,1,3.0,3,28,5.0,1,79,Q21 - Q30
126,4,2,5,7.0,4.0,22,11,2,2,5.0,4,9,7.0,1,78,Q10 - Q15
127,4,2,14,23.0,6.0,9,53,5,3,2.0,4,82,9.0,2,80,Q16 - Q20
128,3,1,1,8.0,9.0,4,88,4,1,6.0,3,83,2.0,4,73,Más de Q30
129,6,1,13,15.0,4.0,2,79,3,1,2.0,3,84,4.0,4,42,Menos de Q10
130,2,1,14,17.0,5.0,1,89,5,2,6.0,1,9,4.0,3,4,Q10 - Q15
131,4,1,1,1.0,4.0,9,90,5,3,2.0,3,34,3.0,3,81,Q10 - Q15
132,2,2,9,30.0,7.0,1,79,3,1,2.0,1,85,5.0,3,47,Q21 - Q30
133,4,2,17,19.0,4.0,3,5,3,3,1.0,4,86,2.0,1,33,Q10 - Q15
134,2,2,14,17.0,4.0,7,91,1,2,2.0,1,68,6.0,3,50,Q21 - Q30
135,3,3,2,12.0,6.0,8,92,4,2,1.0,3,87,9.0,2,82,Q10 - Q15
136,2,2,20,19.0,6.0,9,8,3,2,5.0,5,88,9.0,3,11,Q21 - Q30
137,6,2,8,19.0,3.0,2,93,3,2,2.0,1,11,5.0,1,27,Q16 - Q20
138,6,2,4,31.0,3.0,2,94,2,3,5.0,3,45,4.0,4,83,Q10 - Q15
139,4,2,1,8.0,3.0,8,95,7,2,5.0,1,11,6.0,2,84,Q16 - Q20
140,6,2,1,8.0,4.0,1,96,1,2,2.0,5,55,6.0,1,85,Q16 - Q20
141,4,2,1,1.0,5.0,27,97,3,4,2.0,3,89,5.0,3,42,Menos de Q10
142,6,2,1,20.0,4.0,9,98,2,2,2.0,3,90,5.0,1,86,Q16 - Q20
143,4,2,1,20.0,6.0,22,6,5,5,5.0,1,28,8.0,2,4,Q16 - Q20
144,3,2,8,19.0,3.0,3,6,4,2,2.0,1,6,9.0,3,87,Q16 - Q20
145,4,2,1,8.0,4.0,2,99,3,2,5.0,1,7,3.0,2,88,Q21 - Q30
146,4,1,3,10.0,7.0,4,41,3,2,2.0,3,52,2.0,1,89,Q10 - Q15
147,1,1,1,6.0,3.0,7,5,4,4,5.0,1,14,8.0,1,35,Q16 - Q20
148,1,1,14,17.0,3.0,7,100,5,1,4.0,1,91,6.0,2,90,Q16 - Q20
149,3,2,1,6.0,5.0,7,30,3,2,4.0,3,92,9.0,4,75,Q16 - Q20
150,1,1,4,29.0,5.0,1,101,6,3,2.0,2,28,3.0,2,91,Q10 - Q15
151,4,2,1,3.0,4.0,8,102,3,1,1.0,2,93,4.0,1,51,Q16 - Q20
152,4,2,1,20.0,2.0,3,6,7,5,,1,94,6.0,4,92,Q10 - Q15
153,3,2,3,22.0,4.0,17,103,4,2,2.0,3,6,1.0,3,83,Q16 - Q20
154,4,2,5,7.0,4.0,1,11,4,4,3.0,4,42,5.0,3,49,Q10 - Q15
155,3,2,1,3.0,4.0,5,104,3,3,5.0,1,78,6.0,3,93,Q16 - Q20
156,4,1,1,1.0,4.0,9,11,3,1,2.0,1,95,5.0,2,41,Q16 - Q20
157,4,3,14,23.0,7.0,8,22,4,2,4.0,2,6,3.0,1,26,Q10 - Q15
158,4,2,6,12.0,4.0,5,6,5,3,2.0,3,96,6.0,3,94,Menos de Q10
159,3,1,5,32.0,3.0,28,105,3,2,2.0,5,28,5.0,3,4,Q16 - Q20
160,3,1,1,3.0,4.0,4,106,7,5,4.0,3,35,8.0,2,80,Q16 - Q20
161,3,2,22,19.0,3.0,3,107,3,1,2.0,3,12,3.0,3,2,Q21 - Q30
162,4,2,1,20.0,4.0,29,108,3,3,5.0,3,25,8.0,2,33,Menos de Q10
163,5,1,1,8.0,6.0,8,109,3,2,2.0,1,97,8.0,4,39,Q10 - Q15
164,5,2,3,10.0,3.0,28,110,1,3,2.0,3,98,5.0,4,67,Q16 - Q20
165,4,1,1,8.0,3.0,17,111,5,2,5.0,3,68,1.0,1,34,Q16 - Q20
166,1,2,20,12.0,4.0,8,53,2,4,4.0,3,95,3.0,4,37,Q10 - Q15
167,2,1,1,20.0,4.0,4,112,5,2,6.0,4,99,1.0,3,64,Q16 - Q20
168,2,2,7,12.0,4.0,8,113,6,3,5.0,1,47,8.0,3,50,Q10 - Q15
169,2,1,1,8.0,4.0,7,114,2,1,2.0,2,35,4.0,3,22,Q16 - Q20
170,3,2,1,1.0,6.0,7,18,4,3,5.0,1,45,5.0,3,95,Q16 - Q20
171,4,1,2,19.0,6.0,30,27,5,2,2.0,1,100,3.0,2,78,Q10 - Q15
172,6,2,1,3.0,3.0,7,5,2,2,4.0,1,9,9.0,2,96,Más de Q30
173,5,1,1,20.0,4.0,22,115,5,1,4.0,3,101,6.0,3,11,Q21 - Q30
174,2,1,1,1.0,2.0,5,116,3,4,2.0,3,12,2.0,3,20,Q16 - Q20
175,5,2,18,19.0,6.0,2,25,7,5,,4,34,6.0,2,54,Q16 - Q20
176,3,1,1,8.0,4.0,8,18,7,2,5.0,4,45,3.0,2,97,Q10 - Q15
177,3,2,13,33.0,4.0,31,6,2,1,5.0,3,102,6.0,1,98,Q21 - Q30
178,6,1,4,29.0,5.0,2,117,3,1,2.0,1,11,8.0,2,53,Q10 - Q15
179,4,1,1,3.0,6.0,22,118,4,1,3.0,1,11,8.0,3,55,Más de Q30
180,4,2,1,8.0,4.0,22,119,3,3,2.0,1,103,1.0,2,84,Q21 - Q30
181,2,2,1,3.0,6.0,7,120,7,3,2.0,5,104,8.0,1,42,Q21 - Q30
182,3,1,4,13.0,3.0,7,121,6,3,6.0,1,23,3.0,2,12,Q10 - Q15
183,2,2,12,12.0,5.0,5,6,3,2,2.0,3,6,8.0,1,90,Q10 - Q15
184,4,1,13,33.0,3.0,8,122,5,2,1.0,1,105,5.0,1,5,Q10 - Q15
185,5,3,1,6.0,3.0,7,123,7,3,5.0,1,28,4.0,1,17,Q16 - Q20
186,6,1,1,20.0,4.0,8,124,4,3,5.0,3,106,3.0,2,54,Q16 - Q20
187,1,2,14,17.0,3.0,17,125,3,2,4.0,3,61,6.0,1,53,Q16 - Q20
188,4,2,10,12.0,5.0,12,6,4,1,5.0,5,62,2.0,3,17,Q21 - Q30
189,2,1,20,19.0,5.0,9,11,7,5,2.0,1,9,8.0,4,32,Menos de Q10
190,6,1,1,8.0,4.0,32,79,3,5,5.0,1,107,5.0,4,95,Q10 - Q15
191,2,2,14,18.0,6.0,8,4,4,4,5.0,3,9,9.0,1,99,Q10 - Q15
192,4,2,1,8.0,4.0,8,31,7,2,2.0,4,4,2.0,2,70,Q21 - Q30
193,4,1,23,34.0,5.0,8,126,4,2,1.0,3,48,8.0,4,70,Q16 - Q20
194,2,2,13,15.0,5.0,8,127,2,2,2.0,3,108,8.0,1,100,Q21 - Q30
195,4,1,1,1.0,3.0,5,18,2,4,5.0,3,45,4.0,1,55,Q10 - Q15
196,2,3,14,18.0,4.0,3,32,4,4,5.0,3,109,7.0,1,73,Q10 - Q15
197,6,1,4,29.0,3.0,33,11,4,4,5.0,1,7,7.0,1,28,Menos de Q10
198,6,2,22,12.0,5.0,8,39,4,4,2.0,3,34,4.0,4,101,Menos de Q10
199,6,2,19,19.0,4.0,7,52,3,3,5.0,1,110,5.0,2,93,Q21 - Q30
200,2,1,14,18.0,4.0,17,6,4,2,1.0,3,111,8.0,1,76,Q10 - Q15
201,2,1,1,8.0,6.0,7,128,3,3,2.0,1,112,8.0,3,14,Q10 - Q15
202,4,1,23,19.0,9.0,5,129,3,4,5.0,3,25,5.0,2,61,Q16 - Q20
203,2,1,17,19.0,3.0,3,130,4,2,4.0,3,113,5.0,1,78,Q21 - Q30
204,3,2,14,17.0,2.0,2,6,6,2,2.0,4,114,4.0,3,102,Menos de Q10
205,5,2,1,8.0,3.0,3,131,3,3,2.0,3,115,6.0,2,6,Q21 - Q30
206,1,1,1,20.0,4.0,22,59,4,4,5.0,3,116,5.0,1,32,Q16 - Q20
207,4,1,1,3.0,4.0,9,84,5,4,2.0,3,117,7.0,1,93,Q16 - Q20
208,3,1,15,,7.0,3,6,4,3,5.0,3,118,8.0,2,7,Q10 - Q15
209,4,1,1,20.0,9.0,23,132,3,2,2.0,3,6,8.0,2,27,Q10 - Q15
210,6,1,1,20.0,4.0,14,22,2,2,3.0,1,30,5.0,2,5,Q21 - Q30
211,1,2,23,19.0,2.0,2,133,5,1,4.0,2,34,5.0,3,103,Q10 - Q15
212,3,1,1,1.0,3.0,34,79,4,3,6.0,3,119,7.0,3,12,Q10 - Q15
213,4,2,1,8.0,4.0,22,4,4,3,6.0,3,11,6.0,2,86,Q16 - Q20
214,4,2,1,8.0,3.0,2,18,7,2,2.0,3,11,4.0,1,101,Q16 - Q20
215,6,2,14,18.0,3.0,9,134,3,2,5.0,1,46,9.0,1,75,Q21 - Q30
216,2,1,1,1.0,5.0,4,112,3,2,1.0,3,120,4.0,3,77,Q10 - Q15
217,6,1,14,18.0,4.0,7,103,5,2,2.0,1,42,6.0,2,17,Q16 - Q20
218,6,2,1,20.0,3.0,9,11,3,5,4.0,3,11,8.0,2,35,Q21 - Q30
219,3,1,5,7.0,4.0,5,8,5,4,2.0,1,28,4.0,2,11,Q16 - Q20
220,2,1,2,12.0,3.0,8,135,5,1,2.0,1,6,5.0,1,85,Q10 - Q15
221,2,1,14,17.0,2.0,8,40,5,3,5.0,1,78,4.0,1,45,Q10 - Q15
222,1,2,1,3.0,3.0,8,5,1,2,1.0,3,121,3.0,1,88,Q10 - Q15
223,5,1,1,20.0,4.0,2,14,5,3,2.0,1,11,8.0,3,85,Q10 - Q15
224,3,2,5,16.0,2.0,8,136,3,4,4.0,2,122,3.0,4,61,Más de Q30
225,4,2,1,1.0,3.0,5,11,4,2,4.0,3,60,3.0,3,76,Q16 - Q20
226,3,1,1,3.0,8.0,21,11,2,3,2.0,3,123,9.0,3,81,Q16 - Q20
227,3,2,2,19.0,7.0,3,137,3,1,2.0,4,28,9.0,1,76,Menos de Q10
228,3,1,5,7.0,8.0,7,138,1,4,5.0,1,6,6.0,4,37,Q21 - Q30
229,6,1,12,12.0,6.0,8,139,4,2,2.0,3,25,8.0,4,99,Q21 - Q30
230,5,2,1,6.0,9.0,8,140,3,4,2.0,3,124,7.0,4,97,Q16 - Q20
231,4,1,1,1.0,4.0,1,106,4,4,3.0,2,125,3.0,3,74,Q21 - Q30
232,5,3,14,17.0,4.0,9,141,3,3,5.0,3,126,4.0,1,35,Más de Q30
233,2,2,4,5.0,3.0,22,142,4,1,2.0,3,127,5.0,2,19,Q16 - Q20
234,4,2,5,32.0,4.0,1,11,4,2,5.0,3,128,6.0,1,64,Q16 - Q20
235,4,3,1,3.0,6.0,9,143,5,1,5.0,1,38,4.0,4,45,Q21 - Q30
236,2,2,1,8.0,5.0,5,144,7,3,5.0,3,25,3.0,1,60,Menos de Q10
237,6,2,1,20.0,6.0,14,11,2,1,1.0,4,23,1.0,3,47,Q21 - Q30
238,4,2,1,8.0,9.0,9,8,4,1,1.0,4,129,6.0,3,59,Q16 - Q20
239,3,2,1,6.0,6.0,8,145,2,4,2.0,1,55,3.0,1,104,Q10 - Q15
240,2,1,1,20.0,5.0,1,146,4,3,5.0,1,130,5.0,3,91,Más de Q30
241,4,1,1,3.0,4.0,35,147,5,3,4.0,5,131,9.0,1,36,Q16 - Q20
242,2,2,1,6.0,8.0,2,30,2,4,2.0,1,132,5.0,1,99,Q16 - Q20
243,4,1,1,1.0,3.0,28,148,1,3,1.0,3,109,3.0,1,88,Q16 - Q20
244,4,1,1,1.0,4.0,5,6,3,3,1.0,3,50,6.0,2,19,Q16 - Q20
245,6,3,3,4.0,,22,6,3,4,5.0,4,133,4.0,2,13,Q21 - Q30
246,3,1,1,1.0,5.0,1,149,2,1,6.0,3,7,6.0,1,30,Q21 - Q30
247,4,1,22,19.0,8.0,8,39,6,3,5.0,1,103,8.0,1,100,Q16 - Q20
248,4,1,1,8.0,4.0,7,3,3,4,2.0,3,14,6.0,2,50,Q10 - Q15
249,6,2,3,4.0,4.0,8,6,4,1,5.0,3,25,7.0,2,71,Q21 - Q30
250,6,2,3,4.0,6.0,3,12,5,2,4.0,3,12,4.0,1,66,Q21 - Q30
251,4,1,1,8.0,3.0,3,150,3,2,4.0,3,134,3.0,3,2,Q16 - Q20
252,1,1,1,1.0,2.0,17,151,4,3,5.0,1,135,1.0,4,85,Q10 - Q15
253,4,1,5,16.0,5.0,2,152,5,3,2.0,1,136,6.0,1,79,Q16 - Q20
254,4,2,1,1.0,5.0,4,84,3,2,5.0,4,132,2.0,3,54,Q16 - Q20
255,1,2,1,3.0,4.0,7,39,4,2,6.0,5,92,5.0,4,37,Q10 - Q15
256,6,2,10,19.0,4.0,7,153,3,2,4.0,1,19,5.0,3,41,Más de Q30
257,4,1,1,3.0,4.0,8,11,2,4,5.0,3,137,4.0,2,18,Q16 - Q20
258,6,1,20,12.0,6.0,8,154,7,3,2.0,1,138,5.0,1,18,Q16 - Q20
259,4,1,1,20.0,4.0,36,76,5,5,2.0,1,139,4.0,3,15,Q10 - Q15
260,6,2,4,13.0,4.0,5,155,1,4,2.0,1,12,8.0,1,81,
261,1,2,5,16.0,3.0,22,156,5,2,4.0,3,49,7.0,3,100,Menos de Q10
262,3,2,3,22.0,4.0,1,92,3,1,5.0,3,106,7.0,2,7,Q21 - Q30
263,3,2,5,7.0,3.0,8,5,2,3,2.0,3,140,4.0,2,96,Menos de Q10
264,4,2,1,3.0,1.0,8,157,5,4,3.0,1,141,7.0,4,85,Q21 - Q30
265,3,2,22,12.0,6.0,8,18,3,5,5.0,1,142,7.0,1,52,Q16 - Q20
266,6,2,17,19.0,8.0,31,39,1,4,2.0,3,143,4.0,4,47,Q10 - Q15
267,3,2,11,14.0,4.0,7,18,7,1,4.0,1,144,1.0,1,105,Q16 - Q20
268,4,1,1,20.0,4.0,14,39,1,3,4.0,3,12,7.0,2,2,Q21 - Q30
269,4,2,1,8.0,9.0,9,112,3,3,3.0,3,19,8.0,2,9,Q16 - Q20
270,2,1,22,12.0,8.0,25,158,1,2,2.0,2,145,3.0,4,28,Q10 - Q15
271,3,1,1,3.0,1.0,8,8,3,1,5.0,5,7,5.0,4,53,Menos de Q10
272,4,1,1,8.0,4.0,17,159,2,1,5.0,4,100,9.0,1,83,Q16 - Q20
273,1,1,23,34.0,2.0,7,11,3,1,1.0,5,53,7.0,2,70,Q21 - Q30
274,6,1,14,18.0,6.0,3,160,3,4,4.0,1,146,5.0,2,106,Menos de Q10
275,1,1,1,1.0,1.0,2,161,7,5,5.0,3,111,8.0,1,45,Q21 - Q30
276,2,1,14,17.0,4.0,21,112,4,1,5.0,3,147,3.0,3,1,Q21 - Q30
277,3,2,1,3.0,4.0,9,79,3,2,2.0,3,148,8.0,2,63,Q16 - Q20
278,2,1,1,20.0,3.0,4,162,5,3,5.0,3,149,5.0,2,95,Q16 - Q20
279,5,1,15,24.0,2.0,4,6,4,1,5.0,1,150,9.0,3,42,Q16 - Q20
280,3,2,10,12.0,3.0,5,11,5,2,2.0,3,146,1.0,2,107,Q21 - Q30
281,6,2,1,1.0,7.0,8,49,7,5,4.0,3,151,3.0,4,108,Q21 - Q30
282,2,1,22,19.0,4.0,9,163,3,4,4.0,4,110,5.0,4,80,Menos de Q10
